F_ID,LINK_ID,T_ID,경도(생성됨),기하 도형,위도(생성됨),노선ID,노선번호,INDEX,tF_ID,tLINK_ID,tT_ID
1620007800,1620022200,1620007300,126.6342855,LINESTRING,37.4776683,28022004,21_변경,50.0,1620007800,1620022200,1620007300
1620007300,1620021100,1620007500,126.632741,LINESTRING,37.47653311,28022004,21_변경,51.0,1620007300,1620021100,1620007500
1620007500,1620021000,1620007300,126.6329145,LINESTRING,37.47634983,28022004,21_변경,52.0,1620007500,1620021000,1620007300
1620007300,1620021200,1620002500,126.63287340000002,LINESTRING,37.47722404,28022004,21_변경,53.0,1620007300,1620021200,1620002500
1620002500,1620008600,1620002700,126.6319814,LINESTRING,37.47801084,28022004,21_변경,54.0,1620002500,1620008600,1620002700
1620002700,1620009000,1620003000,126.63024440000001,LINESTRING,37.47946084,28022004,21_변경,55.0,1620002700,1620009000,1620003000
1620003000,1620005600,1620001100,126.6275973,LINESTRING,37.48220724,28022004,21_변경,56.0,1620003000,1620005600,1620001100
1620001100,1620005800,1620004400,126.62605079999999,LINESTRING,37.48413229,28022004,21_변경,57.0,1620001100,1620005800,1620004400
1620004400,1620012200,1620004600,126.6246261,LINESTRING,37.48485644,28022004,21_변경,58.0,1620004400,1620012200,1620004600
1620004600,1620012800,1620005200,126.6226143,LINESTRING,37.48603527,28022004,21_변경,59.0,1620004600,1620012800,1620005200
1620005200,1620013200,1620004800,126.62089979999999,LINESTRING,37.48652829,28022004,21_변경,60.0,1620005200,1620013200,1620004800
1620004800,1620011200,1620004100,126.61951,LINESTRING,37.48481901,28022004,21_변경,61.0,1620004800,1620011200,1620004100
1620004100,1620011100,1620004800,126.6196446,LINESTRING,37.48477141,28022004,21_변경,62.0,1620004100,1620011100,1620004800
1620004800,1620013100,1620005200,126.62100559999999,LINESTRING,37.48644046,28022004,21_변경,63.0,1620004800,1620013100,1620005200
1620005200,1620012700,1620004600,126.62254250000001,LINESTRING,37.48599504,28022004,21_변경,64.0,1620005200,1620012700,1620004600
1620004600,1620012100,1620004400,126.6245992,LINESTRING,37.48479811,28022004,21_변경,65.0,1620004600,1620012100,1620004400
1620004400,1620005700,1620001100,126.62598840000001,LINESTRING,37.4840995,28022004,21_변경,66.0,1620004400,1620005700,1620001100
1620001100,1620005500,1620003000,126.6275278,LINESTRING,37.48217848,28022004,21_변경,67.0,1620001100,1620005500,1620003000
1620003000,1620008900,1620002700,126.6301949,LINESTRING,37.47942037,28022004,21_변경,68.0,1620003000,1620008900,1620002700
1620002700,1620008500,1620002500,126.6319206,LINESTRING,37.47796952,28022004,21_변경,69.0,1620002700,1620008500,1620002500
1620002500,1620021300,1620007300,126.63282140000001,LINESTRING,37.47719362,28022004,21_변경,70.0,1620002500,1620021300,1620007300
1620007300,1620021100,1620007500,126.632741,LINESTRING,37.47653311,28022004,21_변경,71.0,1620007300,1620021100,1620007500
1620007500,1620021000,1620007300,126.6329145,LINESTRING,37.47634983,28022004,21_변경,72.0,1620007500,1620021000,1620007300
1620007300,1620021600,1620007800,126.63435249999999,LINESTRING,37.47763051,28022004,21_변경,73.0,1620007300,1620021600,1620007800
1620007800,1620022300,1620005700,126.6360463,LINESTRING,37.47921753,28022004,21_변경,74.0,1620007800,1620022300,1620005700
1620005700,1620015200,1620000800,126.6385097,LINESTRING,37.48069044,28022004,21_변경,75.0,1620005700,1620015200,1620000800
1620000800,1620004700,1620003400,126.6399845,LINESTRING,37.48126459,28022004,21_변경,76.0,1620000800,1620004700,1620003400
1620003400,1620009900,1620003300,126.64185060000001,LINESTRING,37.48117061,28022004,21_변경,77.0,1620003400,1620009900,1620003300
1620003300,1620003900,1620000600,126.64452109999999,LINESTRING,37.48097886,28022004,21_변경,78.0,1620003300,1620003900,1620000600
1620000600,1620000200,1620000100,126.64515729999998,LINESTRING,37.47842378,28022004,21_변경,79.0,1620000600,1620000200,1620000100
1620000100,1620003100,1620002100,126.6454287,LINESTRING,37.47499735,28022004,21_변경,80.0,1620000100,1620003100,1620002100
1620002100,1620006300,1620001600,126.64771029999999,LINESTRING,37.47246713,28022004,21_변경,81.0,1620002100,1620006300,1620001600
1620001600,1630005500,1630015200,126.65014609999999,LINESTRING,37.46972944,28022004,21_변경,82.0,1620001600,1630005500,1630015200
1630015200,1630049300,1630023800,126.65505630000001,LINESTRING,37.46823617,28022004,21_변경,83.0,1630015200,1630049300,1630023800
1630023800,1630077000,1630015100,126.66287779999999,LINESTRING,37.46829669,28022004,21_변경,84.0,1630023800,1630077000,1630015100
1630015100,1630049100,1630015000,126.66551059999999,LINESTRING,37.46794745,28022004,21_변경,85.0,1630015100,1630049100,1630015000
1630015000,1630046500,1630013900,126.66639550000001,LINESTRING,37.46690624,28022004,21_변경,86.0,1630015000,1630046500,1630013900
1630013900,1630045300,1630013200,126.6681426,LINESTRING,37.46508652,28022004,21_변경,87.0,1630013900,1630045300,1630013200
1630013200,1630045100,1630013500,126.67390490000001,LINESTRING,37.46399661,28022004,21_변경,88.0,1630013200,1630045100,1630013500
1630013500,1630045700,1630019300,126.6788304,LINESTRING,37.46406731,28022004,21_변경,89.0,1630013500,1630045700,1630019300
1630019300,1630060400,1630013400,126.6800183,LINESTRING,37.46404543,28022004,21_변경,90.0,1630019300,1630060400,1630013400
1630013400,1630039700,1630011400,126.6802372,LINESTRING,37.46250888,28022004,21_변경,91.0,1630013400,1630039700,1630011400
